日期 ,北京时间 , 北纬 ,东经  ,海拔
2017年10月05日,9小时41分17秒, 40.48.211, 111.41.441, 1054m
2017年10月05日,9小时41分18秒, 40.48.211, 111.41.441, 1054m
2017年10月05日,9小时41分19秒, 40.48.211, 111.41.441, 1054m
2017年10月05日,9小时41分20秒, 40.48.210, 111.41.440, 1054m
2017年10月05日,9小时41分21秒, 40.48.211, 111.41.438, 1054m
2017年10月05日,9小时41分23秒, 40.48.212, 111.41.430, 1053m
2017年10月05日,9小时41分24秒, 40.48.212, 111.41.425, 1053m
2017年10月05日,9小时41分24秒, 40.48.212, 111.41.425, 1053m
2017年10月05日,9小时41分25秒, 40.48.212, 111.41.421, 1053m
2017年10月05日,9小时41分26秒, 40.48.211, 111.41.417, 1053m
2017年10月05日,9小时41分27秒, 40.48.210, 111.41.414, 1052m
2017年10月05日,9小时41分28秒, 40.48.208, 111.41.412, 1052m
2017年10月05日,9小时41分29秒, 40.48.207, 111.41.410, 1052m
2017年10月05日,9小时41分30秒, 40.48.205, 111.41.409, 1053m
2017年10月05日,9小时41分31秒, 40.48.203, 111.41.408, 1053m
2017年10月05日,9小时41分32秒, 40.48.201, 111.41.409, 1052m
2017年10月05日,9小时41分33秒, 40.48.199, 111.41.409, 1052m
2017年10月05日,9小时41分34秒, 40.48.197, 111.41.410, 1052m
2017年10月05日,9小时41分35秒, 40.48.195, 111.41.411, 1051m
2017年10月05日,9小时41分36秒, 40.48.192, 111.41.412, 1051m
2017年10月05日,9小时41分37秒, 40.48.189, 111.41.413, 1051m
2017年10月05日,9小时41分38秒, 40.48.186, 111.41.414, 1051m
2017年10月05日,9小时41分40秒, 40.48.180, 111.41.417, 1051m
2017年10月05日,9小时41分40秒, 40.48.180, 111.41.417, 1050m
2017年10月05日,9小时41分41秒, 40.48.177, 111.41.418, 1050m
2017年10月05日,9小时41分42秒, 40.48.173, 111.41.420, 1049m
2017年10月05日,9小时41分44秒, 40.48.166, 111.41.423, 1049m
2017年10月05日,9小时41分44秒, 40.48.166, 111.41.423, 1049m
2017年10月05日,9小时41分45秒, 40.48.163, 111.41.425, 1048m
2017年10月05日,9小时41分47秒, 40.48.156, 111.41.427, 1048m
2017年10月05日,9小时41分48秒, 40.48.152, 111.41.429, 1047m
2017年10月05日,9小时41分48秒, 40.48.152, 111.41.429, 1047m
2017年10月05日,9小时41分49秒, 40.48.149, 111.41.430, 1046m
2017年10月05日,9小时41分50秒, 40.48.145, 111.41.432, 1046m
2017年10月05日,9小时41分51秒, 40.48.142, 111.41.433, 1046m
2017年10月05日,9小时41分52秒, 40.48.138, 111.41.435, 1046m
2017年10月05日,9小时41分53秒, 40.48.134, 111.41.437, 1045m
2017年10月05日,9小时41分54秒, 40.48.130, 111.41.438, 1045m
2017年10月05日,9小时41分55秒, 40.48.126, 111.41.440, 1045m
2017年10月05日,9小时41分56秒, 40.48.123, 111.41.442, 1045m
2017年10月05日,9小时41分57秒, 40.48.120, 111.41.443, 1044m
2017年10月05日,9小时41分58秒, 40.48.117, 111.41.444, 1044m
2017年10月05日,9小时41分59秒, 40.48.114, 111.41.446, 1044m
2017年10月05日,9小时42分0秒, 40.48.111, 111.41.447, 1043m
2017年10月05日,9小时42分1秒, 40.48.108, 111.41.448, 1043m
2017年10月05日,9小时42分2秒, 40.48.105, 111.41.450, 1043m
2017年10月05日,9小时42分3秒, 40.48.102, 111.41.451, 1042m
2017年10月05日,9小时42分4秒, 40.48.098, 111.41.452, 1042m
2017年10月05日,9小时42分5秒, 40.48.096, 111.41.453, 1042m
2017年10月05日,9小时42分6秒, 40.48.093, 111.41.453, 1042m
2017年10月05日,9小时42分7秒, 40.48.091, 111.41.452, 1041m
2017年10月05日,9小时42分8秒, 40.48.088, 111.41.451, 1041m
2017年10月05日,9小时42分9秒, 40.48.087, 111.41.449, 1041m
2017年10月05日,9小时42分10秒, 40.48.086, 111.41.446, 1041m
2017年10月05日,9小时42分11秒, 40.48.085, 111.41.443, 1042m
2017年10月05日,9小时42分13秒, 40.48.083, 111.41.436, 1042m
2017年10月05日,9小时42分14秒, 40.48.082, 111.41.433, 1042m
2017年10月05日,9小时42分14秒, 40.48.082, 111.41.433, 1041m
2017年10月05日,9小时42分15秒, 40.48.081, 111.41.431, 1041m
2017年10月05日,9小时42分16秒, 40.48.081, 111.41.428, 1041m
2017年10月05日,9小时42分18秒, 40.48.079, 111.41.423, 1041m
2017年10月05日,9小时42分18秒, 40.48.079, 111.41.423, 1041m
2017年10月05日,9小时42分20秒, 40.48.078, 111.41.419, 1041m
2017年10月05日,9小时42分20秒, 40.48.078, 111.41.419, 1042m
2017年10月05日,9小时42分21秒, 40.48.077, 111.41.417, 1042m
2017年10月05日,9小时42分23秒, 40.48.076, 111.41.414, 1042m
2017年10月05日,9小时42分23秒, 40.48.076, 111.41.414, 1042m
2017年10月05日,9小时42分24秒, 40.48.076, 111.41.413, 1042m
2017年10月05日,9小时42分26秒, 40.48.075, 111.41.411, 1042m
2017年10月05日,9小时42分26秒, 40.48.075, 111.41.411, 1043m
2017年10月05日,9小时42分28秒, 40.48.075, 111.41.408, 1043m
2017年10月05日,9小时42分28秒, 40.48.075, 111.41.408, 1044m
2017年10月05日,9小时42分30秒, 40.48.074, 111.41.404, 1044m
2017年10月05日,9小时42分31秒, 40.48.074, 111.41.402, 1044m
2017年10月05日,9小时42分32秒, 40.48.075, 111.41.401, 1045m
2017年10月05日,9小时42分32秒, 40.48.075, 111.41.401, 1045m
2017年10月05日,9小时42分33秒, 40.48.076, 111.41.400, 1046m
2017年10月05日,9小时42分35秒, 40.48.078, 111.41.400, 1046m
2017年10月05日,9小时42分35秒, 40.48.078, 111.41.400, 1047m
2017年10月05日,9小时42分37秒, 40.48.079, 111.41.401, 1047m
2017年10月05日,9小时42分37秒, 40.48.079, 111.41.401, 1047m
2017年10月05日,9小时42分39秒, 40.48.080, 111.41.402, 1048m
2017年10月05日,9小时42分39秒, 40.48.080, 111.41.402, 1048m
2017年10月05日,9小时42分40秒, 40.48.080, 111.41.403, 1048m
2017年10月05日,9小时42分41秒, 40.48.080, 111.41.403, 1049m
2017年10月05日,9小时42分42秒, 40.48.080, 111.41.404, 1049m
2017年10月05日,9小时42分44秒, 40.48.080, 111.41.405, 1049m
2017年10月05日,9小时42分44秒, 40.48.080, 111.41.405, 1049m
2017年10月05日,9小时42分45秒, 40.48.081, 111.41.405, 1049m
2017年10月05日,9小时42分47秒, 40.48.081, 111.41.407, 1049m
2017年10月05日,9小时42分47秒, 40.48.081, 111.41.407, 1049m
2017年10月05日,9小时42分49秒, 40.48.081, 111.41.407, 1050m
2017年10月05日,9小时42分50秒, 40.48.081, 111.41.407, 1050m
2017年10月05日,9小时42分50秒, 40.48.081, 111.41.407, 1050m
2017年10月05日,9小时42分52秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分53秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分53秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分55秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分56秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分56秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分58秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时42分58秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分0秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分0秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分2秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分3秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分3秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分5秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分5秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分6秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分7秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分9秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分10秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分10秒, 40.48.081, 111.41.408, 1050m
2017年10月05日,9小时43分10秒, 40.48.081, 111.41.408, 1050m
